,Name,Description,Date,Time,Location,Price,URL
0,Smorgasburg La (Day 1,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-08-04T10:00:00-07:00,2024-08-04T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
1,Smorgasburg La (Day 2,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-08-11T10:00:00-07:00,2024-08-11T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
2,Smorgasburg La (Day 3,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-08-18T10:00:00-07:00,2024-08-18T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
3,Smorgasburg La (Day 4,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-08-25T10:00:00-07:00,2024-08-25T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
4,Smorgasburg La (Day 5,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-09-01T10:00:00-07:00,2024-09-01T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
5,Smorgasburg La (Day 6,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-09-08T10:00:00-07:00,2024-09-08T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
6,Smorgasburg La (Day 7,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-09-15T10:00:00-07:00,2024-09-15T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
7,Smorgasburg La (Day 8,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-09-22T10:00:00-07:00,2024-09-22T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
8,Smorgasburg La (Day 9,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-09-29T10:00:00-07:00,2024-09-29T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
9,Smorgasburg La (Day 10,"Time Out says
Every Sunday you can find dozens of food vendors at this market at ROW DTLA, with a mix of much-loved pop-ups and future foodie stars. Look out for this year’s new vendors, including Basket Taco Co, Battambong Barbecue and Taste of the Pacific.",2024-10-06T10:00:00-07:00,2024-10-06T10:00:00-07:00,ROW DTLA,Free entry,https://www.timeout.com/los-angeles/things-to-do/smorgasburg-la
10,Best In Low Lowrider Icons Of The Street And Show (Day 1,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-04T10:00:00-07:00,2024-08-04T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
11,Best In Low Lowrider Icons Of The Street And Show (Day 2,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-05T10:00:00-07:00,2024-08-05T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
12,Best In Low Lowrider Icons Of The Street And Show (Day 3,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-06T10:00:00-07:00,2024-08-06T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
13,Best In Low Lowrider Icons Of The Street And Show (Day 4,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-07T10:00:00-07:00,2024-08-07T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
14,Best In Low Lowrider Icons Of The Street And Show (Day 5,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-08T10:00:00-07:00,2024-08-08T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
15,Best In Low Lowrider Icons Of The Street And Show (Day 6,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-09T10:00:00-07:00,2024-08-09T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
16,Best In Low Lowrider Icons Of The Street And Show (Day 7,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-10T10:00:00-07:00,2024-08-10T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
17,Best In Low Lowrider Icons Of The Street And Show (Day 8,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-11T10:00:00-07:00,2024-08-11T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
18,Best In Low Lowrider Icons Of The Street And Show (Day 9,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-12T10:00:00-07:00,2024-08-12T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
19,Best In Low Lowrider Icons Of The Street And Show (Day 10,"Time Out says
It’s more than just the low clearance: This exhibition at the Petersen explores the custom paint, engraving, upholstery and, of course, the gravity-defying suspension of the lowrider scene. In addition to iconic cars, the exhibit spotlights influential artists in the Chicano lowrider art scene. Even if you have no interest in cars, this colorful showcase of 20-plus lowered cars and bikes is excellent: The candy-colored paint jobs are dazzling, and the craftsmanship of the customizations—many vehicles are on display with their engines and undercarriages visible—is remarkable. You’ll learn a little bit of history here, how the “low and slow” movement is rooted in the postwar Mexican American zoot suit counterculture, but largely this is an excuse to ogle some L.A. automotive icons.",2024-08-13T10:00:00-07:00,2024-08-13T10:00:00-07:00,Petersen Automotive Museum,Included in admission ($21),https://www.timeout.com/los-angeles/things-to-do/best-in-low-lowrider-icons-of-the-street-and-show
20,Josh Kline Climate Change (Day 1,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-04T11:00:00-07:00,2024-08-04T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
21,Josh Kline Climate Change (Day 2,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-06T11:00:00-07:00,2024-08-06T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
22,Josh Kline Climate Change (Day 3,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-07T11:00:00-07:00,2024-08-07T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
23,Josh Kline Climate Change (Day 4,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-08T11:00:00-07:00,2024-08-08T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
24,Josh Kline Climate Change (Day 5,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-09T11:00:00-07:00,2024-08-09T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
25,Josh Kline Climate Change (Day 6,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-10T11:00:00-07:00,2024-08-10T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
26,Josh Kline Climate Change (Day 7,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-11T11:00:00-07:00,2024-08-11T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
27,Josh Kline Climate Change (Day 8,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-13T11:00:00-07:00,2024-08-13T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
28,Josh Kline Climate Change (Day 9,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-14T11:00:00-07:00,2024-08-14T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
29,Josh Kline Climate Change (Day 10,"Time Out says
Move through a suite of sci-fi installations that depict a world overcome by rising seas and unchecked capitalism in this exhibition from Josh Kline. The MOCA Grand Avenue show includes a mix of sculpture, photography, moving images and ephemeral materials.",2024-08-15T11:00:00-07:00,2024-08-15T11:00:00-07:00,"Museum of Contemporary Art, MOCA",Free,https://www.timeout.com/los-angeles/art/josh-kline-climate-change
30,Ciclavia (Day 1,"Time Out says
The term CicLAvia stems from a similar Spanish word for “bike way,” and in L.A. it’s become a shorthand for the temporary, festival-like closing of L.A.’s streets.
The event (inspired by the first Ciclovías in Bogotá, Colombia) welcomes bikes, tricycles, skateboards, strollers and basically anything else without an engine to ride a rotating cast of car-free routes. You’ll inevitably always find a route each year around Downtown, but past events have taken it anywhere from the harbor to the San Gabriel Valley.
Expect music, street performances and food trucks, as well as general whimsy and shenanigans along the way. Shop owners and restaurants along the CicLAvia route also tend to host specials. It goes without saying that you should bike or take the Metro to your desired spot along the route.",2024-08-18T09:00:00-07:00,2024-08-18T09:00:00-07:00,Various locations in L.A.,Free,https://www.timeout.com/los-angeles/things-to-do/ciclavia
31,Ciclavia (Day 2,"Time Out says
The term CicLAvia stems from a similar Spanish word for “bike way,” and in L.A. it’s become a shorthand for the temporary, festival-like closing of L.A.’s streets.
The event (inspired by the first Ciclovías in Bogotá, Colombia) welcomes bikes, tricycles, skateboards, strollers and basically anything else without an engine to ride a rotating cast of car-free routes. You’ll inevitably always find a route each year around Downtown, but past events have taken it anywhere from the harbor to the San Gabriel Valley.
Expect music, street performances and food trucks, as well as general whimsy and shenanigans along the way. Shop owners and restaurants along the CicLAvia route also tend to host specials. It goes without saying that you should bike or take the Metro to your desired spot along the route.",2024-09-15T00:00:00-07:00,2024-09-15T00:00:00-07:00,Various locations in L.A.,Free,https://www.timeout.com/los-angeles/things-to-do/ciclavia
32,Ciclavia (Day 3,"Time Out says
The term CicLAvia stems from a similar Spanish word for “bike way,” and in L.A. it’s become a shorthand for the temporary, festival-like closing of L.A.’s streets.
The event (inspired by the first Ciclovías in Bogotá, Colombia) welcomes bikes, tricycles, skateboards, strollers and basically anything else without an engine to ride a rotating cast of car-free routes. You’ll inevitably always find a route each year around Downtown, but past events have taken it anywhere from the harbor to the San Gabriel Valley.
Expect music, street performances and food trucks, as well as general whimsy and shenanigans along the way. Shop owners and restaurants along the CicLAvia route also tend to host specials. It goes without saying that you should bike or take the Metro to your desired spot along the route.",2024-10-13T09:00:00-07:00,2024-10-13T09:00:00-07:00,Various locations in L.A.,Free,https://www.timeout.com/los-angeles/things-to-do/ciclavia
33,Ciclavia (Day 4,"Time Out says
The term CicLAvia stems from a similar Spanish word for “bike way,” and in L.A. it’s become a shorthand for the temporary, festival-like closing of L.A.’s streets.
The event (inspired by the first Ciclovías in Bogotá, Colombia) welcomes bikes, tricycles, skateboards, strollers and basically anything else without an engine to ride a rotating cast of car-free routes. You’ll inevitably always find a route each year around Downtown, but past events have taken it anywhere from the harbor to the San Gabriel Valley.
Expect music, street performances and food trucks, as well as general whimsy and shenanigans along the way. Shop owners and restaurants along the CicLAvia route also tend to host specials. It goes without saying that you should bike or take the Metro to your desired spot along the route.",2024-12-08T09:00:00-08:00,2024-12-08T09:00:00-08:00,Various locations in L.A.,Free,https://www.timeout.com/los-angeles/things-to-do/ciclavia
34,Cirque Du Soleil Kooza (Day 1,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-19T20:00:00-07:00,2024-10-19T20:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
35,Cirque Du Soleil Kooza (Day 2,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-20T14:00:00-07:00,2024-10-20T14:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
36,Cirque Du Soleil Kooza (Day 3,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-23T20:00:00-07:00,2024-10-23T20:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
37,Cirque Du Soleil Kooza (Day 4,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-24T20:00:00-07:00,2024-10-24T20:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
38,Cirque Du Soleil Kooza (Day 5,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-25T20:00:00-07:00,2024-10-25T20:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
39,Cirque Du Soleil Kooza (Day 6,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-26T16:30:00-07:00,2024-10-26T16:30:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
40,Cirque Du Soleil Kooza (Day 7,"Time Out says
Cirque du Soleil is leaving behind DTLA for the beach with this staging of KOOZA in Santa Monica. The high-flying troupe heads under the big top for its first show next to the Santa Monica Pier since 2014.",2024-10-27T14:00:00-07:00,2024-10-27T14:00:00-07:00,Santa Monica Pier,$60 and up,https://www.timeout.com/los-angeles/theater/cirque-du-soleil-kooza
41,Besame Mucho,"Time Out says
Shakira, Enrique Iglesias, Pitbull, Los Tigres del Norte, Banda MS, Juanes and Carlos Vives top this Latin music fest at Dodger Stadium.",2024-12-21T00:00:00-08:00,2024-12-21T00:00:00-08:00,Dodger Stadium,"$345, GA+ $645, VIP $745",https://www.timeout.com/los-angeles/music/besame-mucho
42,Simone Leigh (Day 1,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-04T10:00:00-07:00,2024-08-04T10:00:00-07:00,Los Angeles County Museum of Art (LACMA),Included in museum admission ($23–$28),https://www.timeout.com/los-angeles/art/simone-leigh
43,Simone Leigh (Day 2,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-05T11:00:00-07:00,2024-08-05T11:00:00-07:00,Los Angeles County Museum of Art (LACMA),Included in museum admission ($23–$28),https://www.timeout.com/los-angeles/art/simone-leigh
44,Simone Leigh (Day 3,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-06T10:00:00-07:00,2024-08-06T10:00:00-07:00,California African American Museum,Free,https://www.timeout.com/los-angeles/art/simone-leigh
45,Simone Leigh (Day 4,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-07T10:00:00-07:00,2024-08-07T10:00:00-07:00,California African American Museum,Free,https://www.timeout.com/los-angeles/art/simone-leigh
46,Simone Leigh (Day 5,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-08T10:00:00-07:00,2024-08-08T10:00:00-07:00,California African American Museum,Free,https://www.timeout.com/los-angeles/art/simone-leigh
47,Simone Leigh (Day 6,"Time Out says
See large ceramic and bronze sculptures at LACMA plus a few more sculptural pieces and collaborative video works at CAAM during this crosstown exhibition of Black feminist artist Simone Leigh.",2024-08-09T10:00:00-07:00,2024-08-09T10:00:00-07:00,California African American Museum,Free,https://www.timeout.com/los-angeles/art/simone-leigh
